Mueang Chiang Rai
date,avg,min,max
2026-04-19,149,138,164
2026-04-20,132,113,138
2026-04-21,138,126,138
2026-04-22,138,138,138
2026-04-23,138,134,138
2026-04-24,138,138,138
2026-04-25,138,138,138
